Author,Comment,Published At
@dipendrakumar6562,Woeeeeeeeeeeepppppppppppp😮😮😮😮😮❤❤,2025-02-14T03:34:59Z
@Sir_RølexYT,Smooth ❤,2025-02-13T23:35:07Z
@snehasaini5206,This song is the definition of warm hug🤗 🫶,2025-02-13T18:01:34Z
@animeloverotaku8685,I thought it was japanese+english but now i see it is fully in english,2025-02-13T16:18:52Z
@YourBacolodTourGuide,I miss the days when we were young and super in love...,2025-02-13T15:53:45Z
@hanuyle8362,U i a cat,2025-02-13T15:10:49Z
@anil3695,She is soooo lucky😢❤❤❤❤😊😊😊❤😢😢❤,2025-02-13T15:02:44Z
@Valentinetome,I could say that everyone has this moment in  life😂😂😂,2025-02-13T14:50:04Z
@SaigeOlvera,I LOVE YOUUUU❤,2025-02-13T14:16:26Z
@SaigeOlvera,OMFG I CANT GET OVER HOW CUTE THIS ISSS p.s who is this Lucky girl?🫶,2025-02-13T14:15:04Z
@saikotraihan1316,Love From Bangladesh ❤🖤,2025-02-13T13:22:50Z
@ridonarang4614,SINGLES Assemble!,2025-02-13T10:56:20Z
@natsudragneel9249,if this comments get 100 ill tell my crush i love him,2025-02-13T10:49:27Z
@aditishastri5172,reminds me of those times during 2020-2023 with all my closest ones<3,2025-02-13T09:18:35Z
@riskyyy2401,It's been a long time since I heard a love song as gentle and nostalgic as this.,2025-02-13T08:47:09Z
@Risuto-w7t,This song made me want to date some girl from anime 😂😂,2025-02-13T07:24:10Z
@muhammadwira3416,Gay🗿,2025-02-13T07:01:02Z
@Mad_Matrixo,Hitting hard,2025-02-13T06:46:16Z
@davidli6447,"Thank you for everything, Keisi. The summer of 2019 will always be special to me. Thank you for letting me understand the feeling of falling in love for the first time. Six years later, I still dance with you in my dreams.",2025-02-13T06:42:05Z
@ShaneRandholfM.Ocampo-th4xb,50 likes I'm going to confess to my crush,2025-02-13T06:40:22Z
@AmiraPutri-w5t,My Number one girl😭😍😍,2025-02-13T04:35:09Z
@ayushkumar1080,Coming after flute 🪈 played... Ikyk,2025-02-13T03:23:27Z
@rizz-zxc12,chill guy ahh song,2025-02-13T02:38:53Z
@CRYPTOMM2024,your name by Burmese ယောင်ကိုင်း,2025-02-13T01:58:15Z
@niloayran,i love your videos,2025-02-13T01:02:05Z
@a.acevedo-philpott8092,If this gets 1k I will ask my crush out😊,2025-02-13T00:55:10Z
@sodinsadin,"Your morning eyes, I could stare like watching stars
I could walk you by, and I'll tell without a thought
You'd be mine, would you mind if I took your hand tonight?
Know you're all that I want this life

I'll imagine we fell in love
I'll nap under moonlight skies with you
I think I'll picture us, you with the waves
The ocean's colors on your face
I'll leave my heart with your air
So let me fly with you
Will you be forever with me?

My love will always stay by you
I'll keep it safe, so don't you worry a thing, I'll tell you I love you more
It's stuck with you forever, so promise you won't let it go
I'll trust the universe will always bring me to you

I'll imagine we fell in love
I'll nap under moonlight skies with you
I think I'll picture us, you with the waves
The ocean's colors on your face
I'll leave my heart with your air
So let me fly with you
Will you be forever with me?",2025-02-12T19:56:40Z
@mdrifathhossain9271,Love you girl 😅,2025-02-12T18:23:02Z
@GiaBảoĐinh-y4e,0:50 I’ll imagine my body at its best 🗿☕️,2025-02-12T17:10:23Z
@Totallynotaradhya,Please like my comment so that I can return to hear this masterpiece again🌷✨,2025-02-12T16:39:08Z
@zr_relaxing.real.1,Love Sing😍,2025-02-12T15:40:52Z
@Amir-hr4zw,Akhirnya nemu aslinya U i aa U i aa i u 😭,2025-02-12T15:30:42Z
@andy74493,Akhir nya bisa tidur nyenyak aku guys,2025-02-12T15:00:07Z
@solidasmr7229,1:46 second,2025-02-12T13:35:09Z
@susukmilz3807,If i got 2k like i confess to my crush but i don't have one so forget about it🥲🥲,2025-02-12T13:02:50Z
@leeknohehe,its almost valentines day and yall are still single,2025-02-12T11:42:50Z
@KRISHHEDITZ100,If this comment got 1K like  then I propose my crush,2025-02-12T11:04:05Z
@nobody8660,"ah im gonna go crying while im sleeping dreaming about my unrequited love, memories of regrets.",2025-02-12T10:58:59Z
@user-aguy1013,i got here from the who knows how many frieren shorts on youtube,2025-02-12T06:33:25Z
@CantknowPrivate,2:08 Universe starts with U n i,2025-02-12T00:11:26Z
@eshanpcbl,cat memes❤,2025-02-11T23:10:21Z
@Seiciq.r,JAAHAHAHA WIT SO GOOODD!,2025-02-11T17:01:25Z
@Vikashfantasy7,2 days later is valentine day and i am still single 💕,2025-02-11T15:59:55Z
@Sanamkavlog,I have 0 likes ❤,2025-02-11T15:10:05Z
@YoShi-kh6gd,Hairtai huntei bolhooroo hamt sonsnoo❤,2025-02-11T13:49:51Z
@MyintSweOo-x7d,This soung is too good to be true,2025-02-11T13:46:32Z
@JumiDas-m4g,"Legend yung kai
Love from india 
  
🟧🟧🟧
⬜🟦⬜
🟩🟩🟩",2025-02-11T13:38:21Z
@hlaingmyothan7987,Song is very feel.,2025-02-11T12:21:03Z
@ffnayeembd512,"Pls reply everyone 😢
And
Subscribe 😢",2025-02-11T09:28:56Z
@TooHotTea,YUNG KAI MY G.O.A.T.,2025-02-11T09:10:23Z
@amitshridhar,I am single & need all kinds of help,2025-02-11T08:55:46Z
@silvermusic950,When I fly towards you vibess😭,2025-02-11T08:55:19Z
@amitshridhar,💮❤️‍🩹,2025-02-11T08:54:05Z
@amitshridhar,😢,2025-02-11T08:53:49Z
@SayrusSaymomSima,Fav one❤,2025-02-11T08:36:24Z
@sujanbaidhya5032,😢😢😢,2025-02-11T07:48:47Z
@Izzrul25,I dont think i will...,2025-02-11T07:34:43Z
@arvind9155,I thought it was Chum 😅,2025-02-11T06:05:08Z
@TiplierwonLyngdohLyngdoh,I like this song very much 🎉🎉❤,2025-02-11T06:02:27Z
@NguyenDuong-ep9dp,"lol come here from uia cat, that version fireeeee",2025-02-11T04:19:57Z
@miIovr,"2,000th comment",2025-02-10T23:50:43Z
@Ahmed_recitations,Bro you look more feminine than her 😂,2025-02-10T18:51:05Z
@just4livinghere,This song is astheticly gorgeous ,2025-02-10T17:04:21Z
@wanderewithin_,any1 in 1983?,2025-02-10T16:44:45Z
@Versatilee-u8y,"If this comment gets 2k likes I'll ask my crush out too. 

That 1k like guy inspired me..ッ",2025-02-10T16:22:05Z
@Mr.VlosopheR,"This song hits different, i dont know what but it hurts inside😢😢",2025-02-10T15:46:55Z
@HaNguyen-ri8vx,The visual make me 😭😭😭,2025-02-10T14:26:09Z
@oiall,The girl look alike indian actress and bigg boss 18 contestant chum darang 😮,2025-02-10T13:21:41Z
@aripjamaludinrumi,"Listening to love songs while having two little angels is truly amazing. It brings back memories of my romantic days with the mother of my little angels. Age may grow older, but the feeling of love will always remain the same.",2025-02-10T12:35:31Z
@danielbatican6311,is that you Athena in @fiftyfifty,2025-02-10T12:30:14Z
@danielbatican6311,is that the girl in Fifty fifty,2025-02-10T12:29:19Z
@taelentine,"(Feb 10 2025 )
Every time I listen to this song it reminds me of my bf,i love you Kaovei ❤",2025-02-10T11:18:30Z
@ajitghartimagar3443,If this comment got 1k like i will start gym,2025-02-10T09:34:22Z
@micmotovlog7211,He really cooked it!!,2025-02-10T08:18:25Z
@ghost001,IT'S 10 FEB 2025❤,2025-02-10T05:27:50Z
@hey.265,I'm leaving this comment here n if anyone likes this comment I'll remember that this song was my brother fav song ❤he used to listen everytime ❤❤,2025-02-10T03:01:45Z
@Haokho,❤❤❤❤❤❤❤😢😢😢😢😢😢😢😢😢😊😊😊😊😊,2025-02-10T02:25:41Z
@johnjohn-tm4ll,This sounds like 'Reckless' by Madison Beer. Listen to Yung Kai's of you're in love but listen to Madison's if you're broken,2025-02-10T01:29:39Z
@WorldMineT,https://youtu.be/lktTLll9Q8w?si=yebbkBoxiBJELdX_ 👈 😳,2025-02-10T00:38:34Z
@Domm.mmblue,If my comment get 2k i will tell yung kai to continue his music in each of his vidoes and new ones,2025-02-09T23:11:24Z
@HafidzMahardhika,👀,2025-02-09T19:43:51Z
@Юлия-т2п1с,"Очень хорошая песня , спокойная, нежная, приятная, хотя я даже не знаю о чём поётся😊, но слушаю с удовольствием",2025-02-09T19:17:59Z
